-920	745	27.609
-920	725	27.639
-920	705	27.66
-920	685	27.685
-920	665	27.699
-920	645	27.707
-920	625	27.703
-920	605	27.699
-920	585	27.692
-920	565	27.694
-920	545	27.711
-920	525	27.724
-920	505	27.721
-920	485	27.712
-920	465	27.717
-920	445	27.729
-920	425	27.742
-920	405	27.742
-920	385	27.728
-920	365	27.692
-920	345	27.631
-920	325	27.563
-920	305	27.513
-920	285	27.499
-920	265	27.531
-920	245	27.589
-920	225	27.632
-920	205	27.651
-920	185	27.675
-920	165	27.692
-920	145	27.696
-920	125	27.694
-920	105	27.695
-920	85	27.7
-920	65	27.704
-920	45	27.7
-920	25	27.689
-920	5	27.697
-920	-15	27.736
-920	-35	27.777
-920	-55	27.79
-920	-75	27.778
-920	-95	27.759
-920	-115	27.747
-920	-135	27.747
-920	-155	27.758
-920	-175	27.769
-920	-195	27.785
-920	-215	27.802
-920	-235	27.817
-920	-255	27.828
-920	-275	27.83
-920	-295	27.839
-920	-315	27.859
-920	-335	27.869
-920	-355	27.862
-920	-375	27.848
-920	-395	27.832
-920	-415	27.826
-920	-435	27.824
-920	-455	27.818
-920	-475	27.818
-920	-495	27.819
-920	-515	27.81
-920	-535	27.811
-920	-555	27.812
-920	-575	27.812
-920	-595	27.812
-920	-615	27.809
-920	-635	27.815
-920	-655	27.823
-920	-675	27.827
-920	-695	27.83
-920	-715	27.827
-920	-735	27.833
-900	-735	27.839
-900	-715	27.839
-900	-695	27.845
-900	-675	27.845
-900	-655	27.841
-900	-635	27.833
-900	-615	27.825
-900	-595	27.826
-900	-575	27.826
-900	-555	27.824
-900	-535	27.831
-900	-515	27.828
-900	-495	27.833
-900	-475	27.835
-900	-455	27.814
-900	-435	27.833
-900	-415	27.843
-900	-395	27.857
-900	-375	27.862
-900	-355	27.872
-900	-335	27.882
-900	-315	27.877
-900	-295	27.859
-900	-275	27.849
-900	-255	27.847
-900	-235	27.833
-900	-215	27.817
-900	-195	27.804
-900	-175	27.795
-900	-155	27.784
-900	-135	27.773
-900	-115	27.771
-900	-95	27.78
-900	-75	27.803
-900	-55	27.821
-900	-35	27.812
-900	-15	27.761
-900	5	27.706
-900	25	27.702
-900	45	27.717
-900	65	27.727
-900	85	27.721
-900	105	27.72
-900	125	27.722
-900	145	27.725
-900	165	27.716
-900	185	27.713
-900	205	27.701
-900	225	27.691
-900	245	27.664
-900	265	27.614
-900	285	27.59
-900	305	27.591
-900	325	27.62
-900	345	27.678
-900	365	27.732
-900	385	27.76
-900	405	27.763
-900	425	27.758
-900	445	27.751
-900	465	27.748
-900	485	27.743
-900	505	27.737
-900	525	27.741
-900	545	27.734
-900	565	27.721
-900	585	27.718
-900	605	27.714
-900	625	27.726
-900	645	27.717
-900	665	27.717
-900	685	27.71
-900	705	27.695
-900	725	27.666
-900	745	27.621
-880	745	27.619
-880	725	27.68
-880	705	27.72
-880	685	27.728
-880	665	27.724
-880	645	27.727
-880	625	27.723
-880	605	27.729
-880	585	27.731
-880	565	27.733
-880	545	27.733
-880	525	27.745
-880	505	27.747
-880	485	27.749
-880	465	27.749
-880	445	27.76
-880	425	27.764
-880	405	27.769
-880	385	27.773
-880	365	27.765
-880	345	27.71
